version,release_date,fsd_version,feature_count,url
2024.26.11,"August 25, 2024",FSD 12.3.6,24,https://www.notateslaapp.com/software-updates/version/2024.26.11/release-notes
2024.26.15,"August 21, 2024",FSD 12.5.1.4,25,https://www.notateslaapp.com/software-updates/version/2024.26.15/release-notes
2024.26.20,"August 23, 2024",FSD 12.5.1.5,25,https://www.notateslaapp.com/software-updates/version/2024.26.20/release-notes
2024.26.3.1,"July 27, 2024",FSD 12.3.6,25,https://www.notateslaapp.com/software-updates/version/2024.26.3.1/release-notes
2024.26.5,"August 6, 2024",FSD 12.5.1.2,25,https://www.notateslaapp.com/software-updates/version/2024.26.5/release-notes
2024.26.7,"August 11, 2024",FSD 12.3.6,23,https://www.notateslaapp.com/software-updates/version/2024.26.7/release-notes
2024.26.8,"August 22, 2024",FSD 12.3.6,24,https://www.notateslaapp.com/software-updates/version/2024.26.8/release-notes
2024.32,"August 19, 2024",FSD 12.3.6,6,https://www.notateslaapp.com/software-updates/version/2024.32/release-notes
2024.32.10,"October 1, 2024",FSD 12.5.4.1,18,https://www.notateslaapp.com/software-updates/version/2024.32.10/release-notes
2024.32.100.1,"October 29, 2024",,1,https://www.notateslaapp.com/software-updates/version/2024.32.100.1/release-notes
2024.32.20,"September 30, 2024",FSD 12.5.5,18,https://www.notateslaapp.com/software-updates/version/2024.32.20/release-notes
2024.32.3,"September 1, 2024",FSD 12.3.6,11,https://www.notateslaapp.com/software-updates/version/2024.32.3/release-notes
2024.32.30,"October 8, 2024",FSD 12.5.6,20,https://www.notateslaapp.com/software-updates/version/2024.32.30/release-notes
2024.32.5,"September 9, 2024",FSD 12.3.6,13,https://www.notateslaapp.com/software-updates/version/2024.32.5/release-notes
2024.38,"October 3, 2024",,6,https://www.notateslaapp.com/software-updates/version/2024.38/release-notes
2024.38.100,"November 8, 2024",,1,https://www.notateslaapp.com/software-updates/version/2024.38.100/release-notes
2024.38.2,"October 17, 2024",,10,https://www.notateslaapp.com/software-updates/version/2024.38.2/release-notes
2024.38.4,"October 26, 2024",,12,https://www.notateslaapp.com/software-updates/version/2024.38.4/release-notes
2024.44,"November 2, 2024",FSD 12.5.4.2,7,https://www.notateslaapp.com/software-updates/version/2024.44/release-notes
2024.44.25,"December 2, 2024",FSD 12.5.4.2,16,https://www.notateslaapp.com/software-updates/version/2024.44.25/release-notes
2024.44.25.2,"December 4, 2024",FSD 12.5.4.2,32,https://www.notateslaapp.com/software-updates/version/2024.44.25.2/release-notes
2024.44.3,"November 19, 2024",FSD 12.5.4.2,11,https://www.notateslaapp.com/software-updates/version/2024.44.3/release-notes
2024.44.3.1,"November 23, 2024",FSD 12.5.4.2,11,https://www.notateslaapp.com/software-updates/version/2024.44.3.1/release-notes
2024.44.300,"January 29, 2025",,1,https://www.notateslaapp.com/software-updates/version/2024.44.300/release-notes
2024.8.3,"March 12, 2024",FSD 11.4.9,11,https://www.notateslaapp.com/software-updates/version/2024.8.3/release-notes
2024.8.4,"March 15, 2024",FSD 11.4.9,15,https://www.notateslaapp.com/software-updates/version/2024.8.4/release-notes
2024.8.7,"March 25, 2024",FSD 11.4.9,16,https://www.notateslaapp.com/software-updates/version/2024.8.7/release-notes
2025.14,"April 12, 2025",FSD 12.6.4 & 13.2.8,22,https://www.notateslaapp.com/software-updates/version/2025.14/release-notes
2025.14.100.1,"May 24, 2025",,11,https://www.notateslaapp.com/software-updates/version/2025.14.100.1/release-notes
2025.14.12,"May 27, 2025",,23,https://www.notateslaapp.com/software-updates/version/2025.14.12/release-notes
2025.14.6,"May 11, 2025",FSD 12.6.4 & 13.2.9,26,https://www.notateslaapp.com/software-updates/version/2025.14.6/release-notes
2025.2.200,"March 23, 2025",,1,https://www.notateslaapp.com/software-updates/version/2025.2.200/release-notes
2025.2.8,"February 27, 2025",FSD 12.6.4 & 13.2.8,20,https://www.notateslaapp.com/software-updates/version/2025.2.8/release-notes
2025.2.9,"March 11, 2025",FSD 12.6.4 & 13.2.8,14,https://www.notateslaapp.com/software-updates/version/2025.2.9/release-notes
2025.20,"May 30, 2025",FSD 12.6.4 & 13.2.9,10,https://www.notateslaapp.com/software-updates/version/2025.20/release-notes
2025.20.100,"June 30, 2025",,11,https://www.notateslaapp.com/software-updates/version/2025.20.100/release-notes
2025.20.3,"June 6, 2025",FSD 12.6.4 & 13.2.9,15,https://www.notateslaapp.com/software-updates/version/2025.20.3/release-notes
2025.26,"July 12, 2025",FSD 12.6.4 & 13.2.9,14,https://www.notateslaapp.com/software-updates/version/2025.26/release-notes
2025.26.100,"August 16, 2025",,9,https://www.notateslaapp.com/software-updates/version/2025.26.100/release-notes
2025.26.11,"October 1, 2025",FSD 12.6.4 & 13.2.9,21,https://www.notateslaapp.com/software-updates/version/2025.26.11/release-notes
2025.26.7.10,"August 28, 2025",FSD 13.2.9,10,https://www.notateslaapp.com/software-updates/version/2025.26.7.10/release-notes
2025.32,"August 20, 2025",FSD 12.6.4 & 13.2.9,10,https://www.notateslaapp.com/software-updates/version/2025.32/release-notes
